GENE:ARMC10	TISSUE:Cerebellum
GENE:ARMCX3	TISSUE:Cerebellum
GENE:ARPC1A	TISSUE:Cerebellum
GENE:ARPC2	TISSUE:Cerebellum
GENE:ARPP19	TISSUE:Cerebellum
GENE:ARPP21	TISSUE:Cerebellum
GENE:ARRB1	TISSUE:Cerebellum
GENE:ARRDC3	TISSUE:Cerebellum
GENE:ASAP2	TISSUE:Cerebellum
GENE:ASB1	TISSUE:Cerebellum
GENE:ASB8	TISSUE:Cerebellum
GENE:ASL	TISSUE:Cerebellum
GENE:ASNS	TISSUE:Cerebellum
GENE:ASPH	TISSUE:Cerebellum
GENE:ASTN2	TISSUE:Cerebellum
GENE:ATAD3C	TISSUE:Cerebellum
GENE:ATF4	TISSUE:Cerebellum
GENE:ATF5	TISSUE:Cerebellum
GENE:ATG12	TISSUE:Cerebellum
GENE:ATL1	TISSUE:Cerebellum
GENE:ATP1A1	TISSUE:Cerebellum
GENE:ATP1B1	TISSUE:Cerebellum
GENE:ATP1B2	TISSUE:Cerebellum
GENE:ATP1B3	TISSUE:Cerebellum
GENE:ATP2A2	TISSUE:Cerebellum
GENE:ATP2B1	TISSUE:Cerebellum
GENE:ATP2B2	TISSUE:Cerebellum
GENE:ATP2B3	TISSUE:Cerebellum
GENE:ATP5A1	TISSUE:Cerebellum
GENE:ATP5B	TISSUE:Cerebellum
GENE:ATP5C1	TISSUE:Cerebellum
GENE:ATP5F1	TISSUE:Cerebellum
GENE:ATP5H	TISSUE:Cerebellum
GENE:ATP5I	TISSUE:Cerebellum
GENE:ATP5J	TISSUE:Cerebellum
GENE:ATP5L	TISSUE:Cerebellum
GENE:ATP5O	TISSUE:Cerebellum
GENE:ATP6AP1	TISSUE:Cerebellum
GENE:ATP6V0A1	TISSUE:Cerebellum
GENE:ATP6V0C	TISSUE:Cerebellum
GENE:ATP6V0D1	TISSUE:Cerebellum
GENE:ATP6V0E1	TISSUE:Cerebellum
GENE:ATP6V0E2	TISSUE:Cerebellum
GENE:ATP6V1A	TISSUE:Cerebellum
GENE:ATP6V1B2	TISSUE:Cerebellum
GENE:ATP6V1E1	TISSUE:Cerebellum
GENE:ATP6V1F	TISSUE:Cerebellum
GENE:ATP6V1G1	TISSUE:Cerebellum
GENE:ATP6V1G2	TISSUE:Cerebellum
GENE:ATP8B2	TISSUE:Cerebellum
GENE:ATP9A	TISSUE:Cerebellum
GENE:ATRX	TISSUE:Cerebellum
GENE:ATXN1L	TISSUE:Cerebellum
GENE:ATXN2	TISSUE:Cerebellum
GENE:ATXN7L3B	TISSUE:Cerebellum
GENE:AZFP	TISSUE:Cerebellum
GENE:B2M	TISSUE:Cerebellum
GENE:B3GNT1	TISSUE:Cerebellum
GENE:B4GALT2	TISSUE:Cerebellum
GENE:BAK1	TISSUE:Cerebellum
GENE:BASP1	TISSUE:Cerebellum
GENE:BAX	TISSUE:Cerebellum
GENE:BAZ2B	TISSUE:Cerebellum
GENE:BBS2	TISSUE:Cerebellum
GENE:BBS9	TISSUE:Cerebellum
GENE:BCAS4	TISSUE:Cerebellum
GENE:BCL2L1	TISSUE:Cerebellum
GENE:BCL2L2	TISSUE:Cerebellum
GENE:BCL6	TISSUE:Cerebellum
GENE:BCLAF1	TISSUE:Cerebellum
GENE:BCYRN1	TISSUE:Cerebellum
GENE:BEX1	TISSUE:Cerebellum
GENE:BEX2	TISSUE:Cerebellum
GENE:BICD2	TISSUE:Cerebellum
GENE:BIRC3	TISSUE:Cerebellum
GENE:BIVM	TISSUE:Cerebellum
GENE:BLMH	TISSUE:Cerebellum
GENE:BLOC1S6	TISSUE:Cerebellum
GENE:BLZF1	TISSUE:Cerebellum
GENE:BMP8B	TISSUE:Cerebellum
GENE:BMS1	TISSUE:Cerebellum
GENE:BMS1P4	TISSUE:Cerebellum
GENE:BMS1P5	TISSUE:Cerebellum
GENE:BMS1P6	TISSUE:Cerebellum
GENE:BNC1	TISSUE:Cerebellum
GENE:BPTF	TISSUE:Cerebellum
GENE:BRD2	TISSUE:Cerebellum
GENE:BRD7	TISSUE:Cerebellum
GENE:BRD9	TISSUE:Cerebellum
GENE:BRIP1	TISSUE:Cerebellum
GENE:BRPF1	TISSUE:Cerebellum
GENE:BRSK1	TISSUE:Cerebellum
GENE:BSG	TISSUE:Cerebellum
GENE:BSN	TISSUE:Cerebellum
GENE:BTBD3	TISSUE:Cerebellum
GENE:BTD	TISSUE:Cerebellum
GENE:BTG1	TISSUE:Cerebellum
GENE:BUB3	TISSUE:Cerebellum
GENE:C10orf35	TISSUE:Cerebellum
GENE:C11orf57	TISSUE:Cerebellum
GENE:C11orf63	TISSUE:Cerebellum
GENE:C12orf76	TISSUE:Cerebellum
GENE:C14orf105	TISSUE:Cerebellum
GENE:C14orf132	TISSUE:Cerebellum
GENE:C14orf2	TISSUE:Cerebellum
GENE:C16orf80	TISSUE:Cerebellum
GENE:C17orf51	TISSUE:Cerebellum
GENE:C17orf70	TISSUE:Cerebellum
GENE:C19orf12	TISSUE:Cerebellum
GENE:C19orf43	TISSUE:Cerebellum
GENE:C19orf60	TISSUE:Cerebellum
GENE:C19orf71	TISSUE:Cerebellum
GENE:C1orf140	TISSUE:Cerebellum
GENE:C1orf210	TISSUE:Cerebellum
GENE:C1orf43	TISSUE:Cerebellum
GENE:C1orf61	TISSUE:Cerebellum
GENE:C21orf58	TISSUE:Cerebellum
GENE:C2CD5	TISSUE:Cerebellum
GENE:C2orf69	TISSUE:Cerebellum
GENE:C3orf22	TISSUE:Cerebellum
GENE:C3orf70	TISSUE:Cerebellum
GENE:C4orf3	TISSUE:Cerebellum
GENE:C5orf15	TISSUE:Cerebellum
GENE:C5orf28	TISSUE:Cerebellum
GENE:C6orf106	TISSUE:Cerebellum
GENE:C6orf48	TISSUE:Cerebellum
GENE:C8orf37	TISSUE:Cerebellum
GENE:C9orf41	TISSUE:Cerebellum
GENE:C9orf78	TISSUE:Cerebellum
GENE:CA10	TISSUE:Cerebellum
GENE:CA11	TISSUE:Cerebellum
GENE:CAB39	TISSUE:Cerebellum
GENE:CACNA1A	TISSUE:Cerebellum
GENE:CACNB2	TISSUE:Cerebellum
GENE:CACYBP	TISSUE:Cerebellum
GENE:CADM1	TISSUE:Cerebellum
GENE:CADPS2	TISSUE:Cerebellum
GENE:CALD1	TISSUE:Cerebellum
GENE:CALM1	TISSUE:Cerebellum
GENE:CALM2	TISSUE:Cerebellum
GENE:CALM3	TISSUE:Cerebellum
GENE:CALML4	TISSUE:Cerebellum
GENE:CALN1	TISSUE:Cerebellum
GENE:CAMK2B	TISSUE:Cerebellum
GENE:CAMK2N1	TISSUE:Cerebellum
GENE:CAMK2N2	TISSUE:Cerebellum
GENE:CAMK4	TISSUE:Cerebellum
GENE:CAMKK2	TISSUE:Cerebellum
GENE:CAMLG	TISSUE:Cerebellum
GENE:CAMSAP2	TISSUE:Cerebellum
GENE:CAPN1	TISSUE:Cerebellum
GENE:CAPN7	TISSUE:Cerebellum
GENE:CAPRIN2	TISSUE:Cerebellum
GENE:CARKD	TISSUE:Cerebellum
GENE:CASC3	TISSUE:Cerebellum
GENE:CASP10	TISSUE:Cerebellum
GENE:CASP2	TISSUE:Cerebellum
GENE:CATSPER2	TISSUE:Cerebellum
GENE:CBLB	TISSUE:Cerebellum
GENE:CBLN1	TISSUE:Cerebellum
GENE:CBWD1	TISSUE:Cerebellum
GENE:CBWD2	TISSUE:Cerebellum
GENE:CBWD5	TISSUE:Cerebellum
GENE:CBX1	TISSUE:Cerebellum
GENE:CBX5	TISSUE:Cerebellum
GENE:CCBE1	TISSUE:Cerebellum
GENE:CCDC125	TISSUE:Cerebellum
GENE:CCDC130	TISSUE:Cerebellum
GENE:CCDC144B	TISSUE:Cerebellum
GENE:CCDC175	TISSUE:Cerebellum
GENE:CCDC28A	TISSUE:Cerebellum
GENE:CCDC47	TISSUE:Cerebellum
GENE:CCDC68	TISSUE:Cerebellum
GENE:CCDC85C	TISSUE:Cerebellum
GENE:CCNB1IP1	TISSUE:Cerebellum
GENE:CCND2	TISSUE:Cerebellum
GENE:CCND3	TISSUE:Cerebellum
GENE:CCNI	TISSUE:Cerebellum
GENE:CCNL1	TISSUE:Cerebellum
GENE:CCP110	TISSUE:Cerebellum
GENE:CCR6	TISSUE:Cerebellum
GENE:CCT6A	TISSUE:Cerebellum
GENE:CCT6P3	TISSUE:Cerebellum
GENE:CCT8	TISSUE:Cerebellum
GENE:CCZ1B	TISSUE:Cerebellum
GENE:CD47	TISSUE:Cerebellum
GENE:CD63	TISSUE:Cerebellum
GENE:CD68	TISSUE:Cerebellum
GENE:CD81	TISSUE:Cerebellum
GENE:CD84	TISSUE:Cerebellum
GENE:CD99L2	TISSUE:Cerebellum
GENE:CDAN1	TISSUE:Cerebellum
GENE:CDC16	TISSUE:Cerebellum
GENE:CDC25B	TISSUE:Cerebellum
GENE:CDC37	TISSUE:Cerebellum
GENE:CDC42BPA	TISSUE:Cerebellum
GENE:CDC42BPG	TISSUE:Cerebellum
GENE:CDC42EP4	TISSUE:Cerebellum
GENE:CDH2	TISSUE:Cerebellum
GENE:CDHR2	TISSUE:Cerebellum
GENE:CDIPT	TISSUE:Cerebellum
GENE:CDK11B	TISSUE:Cerebellum
GENE:CDK2AP1	TISSUE:Cerebellum
GENE:CDK5R1	TISSUE:Cerebellum
GENE:CDK5RAP3	TISSUE:Cerebellum
GENE:CDKN1B	TISSUE:Cerebellum
GENE:CDKN2AIP	TISSUE:Cerebellum
GENE:CDKN2AIPNL	TISSUE:Cerebellum
GENE:CDKN2C	TISSUE:Cerebellum
GENE:CDON	TISSUE:Cerebellum
GENE:CDR1	TISSUE:Cerebellum
GENE:CDR2L	TISSUE:Cerebellum
GENE:CEBPG	TISSUE:Cerebellum
GENE:CEBPZ	TISSUE:Cerebellum
GENE:CELF1	TISSUE:Cerebellum
GENE:CELF2	TISSUE:Cerebellum
GENE:CELF4	TISSUE:Cerebellum
GENE:CENPV	TISSUE:Cerebellum
GENE:CEP170	TISSUE:Cerebellum
GENE:CEP19	TISSUE:Cerebellum
GENE:CEP350	TISSUE:Cerebellum
GENE:CEP95	TISSUE:Cerebellum
GENE:CERK	TISSUE:Cerebellum
GENE:CERKL	TISSUE:Cerebellum
GENE:CERS1	TISSUE:Cerebellum
GENE:CERS5	TISSUE:Cerebellum
GENE:CFLAR	TISSUE:Cerebellum
GENE:CGGBP1	TISSUE:Cerebellum
GENE:CHCHD2	TISSUE:Cerebellum
GENE:CHD2	TISSUE:Cerebellum
GENE:CHD7	TISSUE:Cerebellum
GENE:CHGB	TISSUE:Cerebellum
GENE:CHMP2A	TISSUE:Cerebellum
GENE:CHMP5	TISSUE:Cerebellum
GENE:CHN2	TISSUE:Cerebellum
GENE:CHRM2	TISSUE:Cerebellum
GENE:CHRNA5	TISSUE:Cerebellum
GENE:CHSY1	TISSUE:Cerebellum
GENE:CHTF8	TISSUE:Cerebellum
GENE:CHTOP	TISSUE:Cerebellum
GENE:CIAO1	TISSUE:Cerebellum
GENE:CIPC	TISSUE:Cerebellum
GENE:CIR1	TISSUE:Cerebellum
GENE:CIRBP	TISSUE:Cerebellum
GENE:CISD1	TISSUE:Cerebellum
GENE:CKB	TISSUE:Cerebellum
GENE:CLASP2	TISSUE:Cerebellum
GENE:CLDN14	TISSUE:Cerebellum
GENE:CLEC2D	TISSUE:Cerebellum
GENE:CLIP3	TISSUE:Cerebellum
GENE:CLK1	TISSUE:Cerebellum
